movie_name,released_year,genre,duration_min,user_rating,critics_rating,votes
It Chapter Two,2019,"Drama, Fantasy, Horror",169,7.0,58,75047
Joker I ,2019,"Crime, Drama, Thriller",122,9.5,70,14920
Ad Astra,2019,"Adventure, Drama, Mystery",123,7.1,80,26831
Once Upon a Time... in Hollywood,2019,"Comedy, Drama",161,8.0,83,196781
Spider-Man: Far from Home,2019,"Action, Adventure, Sci-Fi",129,7.7,69,187660
Anna II,2019,"Action, Thriller",119,6.6,40,19221
It I ,2017,Horror,135,7.4,69,391211
Ford v Ferrari,2019,"Action, Biography, Drama",152,7.7,71,597
Aladdin,2019,"Adventure, Family, Fantasy",128,7.1,53,133838
Avengers: Endgame,2019,"Action, Adventure, Sci-Fi",181,8.6,78,562071
Dark Phoenix,2019,"Action, Adventure, Sci-Fi",113,5.8,43,90249
John Wick: Chapter 3 - Parabellum,2019,"Action, Crime, Thriller",131,7.6,73,167075
Fast & Furious Presents: Hobbs & Shaw,2019,"Action, Adventure",137,6.7,60,69484
Toy Story 4,2019,"Animation, Adventure, Comedy",100,8.1,84,96329
Child's Play,2019,Horror,90,6.0,48,20435
Ready or Not I ,2019,"Comedy, Horror, Mystery",95,7.2,64,14017
Angel Has Fallen,2019,"Action, Thriller",121,6.7,45,15687
Rocketman I ,2019,"Biography, Drama, Music",121,7.4,69,67117
The Peanut Butter Falcon,2019,"Adventure, Comedy, Drama",97,8.0,69,5206
Good Boys II,2019,"Adventure, Comedy",90,6.9,60,14376
Haunt,2019,"Horror, Thriller",92,6.4,69,2291
Midsommar I ,2019,"Drama, Horror, Mystery",147,7.5,72,40057
The Dead Don't Die,2019,"Comedy, Fantasy, Horror",104,5.6,54,22954
Men in Black: International,2019,"Action, Adventure, Comedy",114,5.6,38,61488
Welcome to Marwen,2018,"Biography, Comedy, Drama",116,6.1,40,12028
Annabelle Comes Home,2019,"Horror, Mystery, Thriller",106,6.0,53,30360
The Lion King,2019,"Animation, Adventure, Drama",118,7.1,55,101681
Bloodline II,2018,"Horror, Thriller",95,6.0,50,828
Booksmart,2019,Comedy,102,7.3,84,38736
Godzilla: King of the Monsters,2019,"Action, Adventure, Fantasy",132,6.2,48,87316
Bohemian Rhapsody,2018,"Biography, Drama, Music",134,8.0,49,380133
Alita: Battle Angel,2019,"Action, Adventure, Sci-Fi",122,7.4,53,160313
Uncut Gems,2019,"Comedy, Crime, Drama",135,8.2,88,416
Mary Queen of Scots,2018,"Biography, Drama, History",124,6.3,60,27911
The Lighthouse,2019,"Drama, Fantasy, Horror",110,7.9,89,1290
Aquaman,2018,"Action, Adventure, Fantasy",143,7.0,55,298120
Blade Runner 2049,2017,"Action, Drama, Mystery",164,8.0,81,392243
